Data type: quat, num_epochs: 500, 	 lr: 0.005 
ss: 39.2408014113 

Epoch: 10, 	 train loss: 24.5824997628, 	 test loss: 27.345464891 

Epoch: 20, 	 train loss: 18.2267226246, 	 test loss: 20.3816941784 

Epoch: 30, 	 train loss: 14.932144721, 	 test loss: 16.4502297678 

Epoch: 40, 	 train loss: 12.0999553233, 	 test loss: 12.6825394169 

Epoch: 50, 	 train loss: 9.8176249763, 	 test loss: 10.0390339513 

Epoch: 60, 	 train loss: 8.3397844446, 	 test loss: 9.1872597971 

Epoch: 70, 	 train loss: 7.4853006587, 	 test loss: 9.1166913432 

Epoch: 80, 	 train loss: 6.6225215279, 	 test loss: 8.6510570895 

Epoch: 90, 	 train loss: 6.2312921068, 	 test loss: 8.5411485241 

Epoch: 100, 	 train loss: 5.8320090105, 	 test loss: 9.1036091466 

Epoch: 110, 	 train loss: 5.6055557313, 	 test loss: 8.8590058357 

Epoch: 120, 	 train loss: 5.468707992, 	 test loss: 9.1839934318 

Epoch: 130, 	 train loss: 5.2805487135, 	 test loss: 8.7749604256 

Epoch: 140, 	 train loss: 5.5285002056, 	 test loss: 9.9789507466 

Epoch: 150, 	 train loss: 5.3191886624, 	 test loss: 10.2124653478 

Epoch: 160, 	 train loss: 4.7953454145, 	 test loss: 10.6254075573 

Epoch: 170, 	 train loss: 5.1167950958, 	 test loss: 10.1408327164 

Epoch: 180, 	 train loss: 5.3889244172, 	 test loss: 9.8308893019 

Epoch: 190, 	 train loss: 4.8555448586, 	 test loss: 10.2801917291 

Epoch: 200, 	 train loss: 4.467811986, 	 test loss: 9.8934296639 

Epoch: 210, 	 train loss: 4.7481585669, 	 test loss: 9.8804557554 

Epoch: 220, 	 train loss: 4.5291318083, 	 test loss: 9.9970890168 

Epoch: 230, 	 train loss: 4.0843584933, 	 test loss: 10.2853078535 

Epoch: 240, 	 train loss: 5.1910182937, 	 test loss: 10.3592824628 

Epoch: 250, 	 train loss: 4.9801183538, 	 test loss: 9.0225062216 

Epoch: 260, 	 train loss: 4.9224403783, 	 test loss: 10.339693131 

Epoch: 270, 	 train loss: 4.868846569, 	 test loss: 10.5396511939 

Epoch: 280, 	 train loss: 5.5387896951, 	 test loss: 9.8787418489 

Epoch: 290, 	 train loss: 5.4309314311, 	 test loss: 10.7726460118 

Epoch: 300, 	 train loss: 5.2287424682, 	 test loss: 10.9703428207 

Epoch: 310, 	 train loss: 5.4183399031, 	 test loss: 11.4924897225 

Epoch: 320, 	 train loss: 5.2731557993, 	 test loss: 11.5935491746 

Epoch: 330, 	 train loss: 5.2544913968, 	 test loss: 11.7074801537 

Epoch: 340, 	 train loss: 5.1591717801, 	 test loss: 11.6046999039 

Epoch: 350, 	 train loss: 5.1202698989, 	 test loss: 11.600634175 

Epoch: 360, 	 train loss: 5.0934435887, 	 test loss: 11.6421932097 

Epoch: 370, 	 train loss: 5.1165094414, 	 test loss: 11.7366707094 

Epoch: 380, 	 train loss: 5.0903340081, 	 test loss: 11.6844846664 

Epoch: 390, 	 train loss: 5.2646336111, 	 test loss: 11.2309215915 

Epoch: 400, 	 train loss: 5.2168705126, 	 test loss: 10.9557465584 

Epoch: 410, 	 train loss: 4.9348179126, 	 test loss: 10.8677624118 

Epoch: 420, 	 train loss: 4.9012905847, 	 test loss: 10.8619207567 

Epoch: 430, 	 train loss: 4.8715400232, 	 test loss: 11.0815380466 

Epoch: 440, 	 train loss: 4.8552132425, 	 test loss: 10.9478306924 

Epoch: 450, 	 train loss: 4.8337669218, 	 test loss: 11.0115533644 

Epoch: 460, 	 train loss: 4.8141822969, 	 test loss: 11.061490951 

Epoch: 470, 	 train loss: 4.7998219849, 	 test loss: 11.0552889916 

Epoch: 480, 	 train loss: 4.7950459222, 	 test loss: 11.1058064122 

Epoch: 490, 	 train loss: 4.7855535963, 	 test loss: 11.1587908345 

