Data type: eucl_motion, num_epochs: 1000, 	 lr: 0.0005 
0, 3618.7860054348, 1597.19140625, 277404.5142857143] 

[20, 3576.8509963768, 1489.89375, 253991.1428571429] 

[30, 3307.4784873188, 1721.5162946429, 223839.2142857143] 

[40, 3293.6143568841, 1397.4542410714, 218384.4714285714] 

[50, 3234.1297554348, 2060.4890625, 214865.8428571429] 

[60, 3216.4141757246, 1494.8075892857, 205566.9285714286] 

[70, 3109.7241847826, 1418.9006696429, 201267.3714285714] 

[80, 3047.7364130435, 1325.0609375, 193323.9857142857] 

[90, 3120.6725543478, 1481.3641741071, 212981.2142857143] 

[100, 3004.6148097826, 1488.0123883929, 189972.4714285714] 

[110, 3162.8738677536, 1552.4208705357, 211994.3857142857] 

[120, 3015.2518115942, 1622.3994419643, 191311.9571428571] 

[130, 2996.2515851449, 1769.7761160714, 193098.3142857143] 

[140, 3140.9155344203, 1775.2120535714, 176716.1428571429] 

[150, 3031.8283514493, 1510.0107142857, 203576.2142857143] 

[160, 3015.7663043478, 1539.7518973214, 178837.9571428571] 

[170, 2929.7307518116, 1785.3026785714, 202098.7142857143] 

[180, 3011.1356431159, 1702.0325892857, 191204.8142857143] 

[190, 2914.5418931159, 1525.7688616071, 214859.8285714286] 

[200, 2908.9146286232, 1491.8042410714, 193153.3142857143] 

[210, 2822.1161684783, 1485.8459821429, 199137.4571428571] 

[220, 2970.9067028986, 1581.0551339286, 188743.6] 

[230, 2979.1827445652, 1462.5783482143, 178247.1] 

[240, 2868.5412137681, 1522.39921875, 179632.9285714286] 

[250, 2856.0880887681, 1594.2890625, 179013.1857142857] 

[260, 2963.0317028986, 1593.3012276786, 159864.2714285714] 

[270, 2793.2490942029, 1495.1408482143, 219425.4571428571] 

[280, 2870.403759058, 1526.3123883929, 204782.8714285714] 

[290, 2844.8641304348, 1519.5935267857, 189695.4714285714] 

[300, 2890.4080615942, 1690.70234375, 208801.1] 

[310, 2912.0482336957, 1591.5670758929, 175233.3571428571] 

[320, 2812.7198822464, 1526.9532366071, 208415.1] 

[330, 2755.4624094203, 1561.9809151786, 157519.3571428571] 

[340, 2800.7225996377, 1483.4311383929, 187545.1] 

[350, 2722.9248188406, 1593.6952008929, 213493.7857142857] 

[360, 2672.2864583333, 1455.5563616071, 170891.6285714286] 

[370, 2806.5396286232, 1585.2521205357, 184815.2428571428] 

[380, 2713.022192029, 1522.0918526786, 152050.8714285714] 

[390, 2750.0430253623, 1552.0731026786, 180676.0857142857] 

[400, 2753.8023097826, 1599.9501116071, 174820.9] 

[410, 2736.9470108696, 1484.0412946429, 157735.8571428571] 

[420, 2754.6320199275, 1631.7073660714, 180947.5] 

[430, 2760.8208786232, 1565.7345982143, 168844.6142857143] 

[440, 2780.3673007246, 1721.3496651786, 196429.0714285714] 

[450, 2659.3048007246, 1647.1207589286, 171684.3714285714] 

[460, 2785.7248641304, 1537.4482142857, 173523.6285714286] 

[470, 2717.0366847826, 1600.00703125, 166203.1857142857] 

[480, 2637.2644927536, 1561.2280133929, 172843.9285714286] 

[490, 2670.9386322464, 1562.6212053571, 163649.7714285714] 

[500, 2737.2626811594, 1557.93125, 166100.8] 

[510, 2734.1951992754, 1551.55078125, 164420.3857142857] 

[520, 2629.5133605072, 1601.8866071429, 161451.5857142857] 

[530, 2645.2923460145, 1484.5972098214, 162401.8] 

[540, 2693.3491847826, 1611.2953125, 164428.0428571429] 

[550, 2622.8464673913, 1587.771875, 155346.9714285714] 

[560, 2670.9798460145, 1589.1239955357, 186445.6571428571] 

[570, 2727.587182971, 1648.8046875, 194919.0] 

[580, 2667.6510416667, 1646.5473214286, 178939.4285714286] 

[590, 2659.388134058, 1539.4510044643, 180343.6285714286] 

[600, 2694.3870018116, 1579.0661830357, 167173.4571428571] 

[610, 2702.8817934783, 1620.9356026786, 165499.9571428571] 

[620, 2714.1920289855, 1649.4309151786, 165453.5428571429] 

[630, 2694.7758152174, 1468.9568080357, 157896.0857142857] 

[640, 2712.5439311594, 1799.2287946429, 178128.2857142857] 

[650, 2655.3163496377, 1640.1838169643, 158170.3285714286] 

[660, 2746.6188858696, 1665.6244419643, 163165.7571428572] 

[670, 2623.1419836957, 1578.3758928571, 161794.9857142857] 

[680, 2743.7377717391, 1635.3256696429, 182793.1857142857] 

[690, 2651.9861865942, 1681.3455357143, 179380.5428571429] 

[700, 2674.2436594203, 1591.2716517857, 157326.2142857143] 

[710, 2650.0742753623, 1639.6668526786, 176168.4] 

[720, 2723.4707880435, 1651.0583705357, 190406.0285714286] 

[730, 2686.6981431159, 1618.3331473214, 193703.4] 

[740, 2675.0360054348, 1744.8660714286, 169725.9285714286] 

[750, 2668.1967844203, 1669.0420758929, 167917.9857142857] 

[760, 2696.6413043478, 1675.4825892857, 174300.0428571429] 

[770, 2645.9467844203, 1600.5466517857, 164943.3142857143] 

[780, 2646.4981884058, 1574.2119419643, 166998.7142857143] 

[790, 2633.9780344203, 1715.6893973214, 179265.4285714286] 

[800, 2735.5203804348, 1736.0069196429, 177397.5428571429] 

[810, 2605.1494565217, 1636.7731026786, 177507.8285714286] 

[820, 2726.6231884058, 1697.8702008929, 154094.8714285714] 

[830, 2624.2008605072, 1639.3550223214, 174437.7] 

[840, 2582.8414855072, 1804.9948660714, 168196.0142857143] 

[850, 2569.8041213768, 1649.5821428571, 158429.0714285714] 

[860, 2641.3081974638, 1570.5212053571, 149180.8285714286] 

[870, 2592.8990036232, 1607.46640625, 159977.1142857143] 

[880, 2551.4420289855, 1643.7003348214, 164555.3714285714] 

[890, 2575.5054347826, 1758.8338169643, 194230.9571428571] 

[900, 2550.5097373188, 1563.54140625, 142533.9428571429] 

[910, 2561.7257699275, 1726.4073660714, 178667.8714285714] 

[920, 2496.082201087, 1585.7189732143, 159513.1857142857] 

[930, 2625.8367300725, 1640.9027901786, 196770.6857142857] 

[940, 2466.9603713768, 1730.2349330357, 154183.4714285714] 

[950, 2625.1571557971, 1653.5683035714, 145113.5571428571] 

[960, 2481.8195199275, 1650.1047991071, 157628.6428571429] 

[970, 2565.002490942, 1613.6172991071, 161451.0] 

[980, 2560.4730525362, 1672.2512276786, 166635.6142857143] 

[990, 2459.9900362319, 1690.5055803571, 149166.7142857143] 

