Data type: eucl_motion, num_epochs: 1000, 	 lr: 0.0005 
15.6925216183] 

[20, 14.1137813923, 15.4564445249] 

[30, 13.8201899355, 15.2061993999] 

[40, 13.550774331, 14.9501057286] 

[50, 13.2917549658, 14.7081151162] 

[60, 13.0537583818, 14.4723372921] 

[70, 12.8389255045, 14.2681057838] 

[80, 12.654296875, 14.0891477523] 

[90, 12.4859564777, 13.9362842191] 

[100, 12.3210597482, 13.7690685641] 

[110, 12.1606010406, 13.6122731855] 

[120, 11.9901879191, 13.4406098397] 

[130, 11.80326417, 13.294962237] 

[140, 11.6251769278, 13.1437820927] 

[150, 11.4575768598, 12.9848839544] 

[160, 11.2875680035, 12.8315124512] 

[170, 11.130154629, 12.6796648579] 

[180, 10.9866345363, 12.5313573037] 

[190, 10.8434346929, 12.3868171938] 

[200, 10.6908744781, 12.2371865549] 

[210, 10.5642317181, 12.0996182349] 

[220, 10.4384992962, 11.9536880985] 

[230, 10.3136930273, 11.8222803916] 

[240, 10.1886188955, 11.6989864226] 

[250, 10.0672236763, 11.5985068044] 

[260, 9.9457217074, 11.5231746551] 

[270, 9.826010762, 11.4318847656] 

[280, 9.7169194395, 11.3503358902] 

[290, 9.6111175908, 11.2620140814] 

[300, 9.4989987269, 11.1987206244] 

[310, 9.3943533338, 11.1280911353] 

[320, 9.2871844952, 11.0509338379] 

[330, 9.1724690426, 10.9895226263] 

[340, 9.0728992045, 10.8874718451] 

[350, 8.9682419503, 10.8049552671] 

[360, 8.8607241982, 10.714470648] 

[370, 8.7565295262, 10.6053053333] 

[380, 8.6516666798, 10.5297251055] 

[390, 8.5402357588, 10.4109565981] 

[400, 8.4286555858, 10.3303606587] 

[410, 8.3205516985, 10.2485587828] 

[420, 8.2201308277, 10.1798519011] 

[430, 8.122367828, 10.0798763152] 

[440, 8.0192070471, 9.9870004962] 

[450, 7.9047218971, 9.9062312957] 

[460, 7.7964559084, 9.8383621708] 

[470, 7.6956737688, 9.775660361] 

[480, 7.5836206351, 9.7179211032] 

[490, 7.4807346359, 9.6401455787] 

[500, 7.3770060057, 9.5818225491] 

[510, 7.2731894057, 9.5187594506] 

[520, 7.1793054743, 9.4444993542] 

[530, 7.0867840848, 9.3602373677] 

[540, 6.9944228199, 9.3345149871] 

[550, 6.9099961254, 9.2657706968] 

[560, 6.8239192577, 9.221966159] 

[570, 6.7343147062, 9.1638971144] 

[580, 6.6464023358, 9.1070743684] 

[590, 6.5546820637, 9.0362814626] 

[600, 6.4699677379, 8.9739379883] 

[610, 6.3925450128, 8.9005786527] 

[620, 6.318091018, 8.8588886876] 

[630, 6.2506014558, 8.8117360761] 

[640, 6.1842189279, 8.75866207] 

[650, 6.1210033092, 8.7402619393] 

[660, 6.0538982438, 8.7137047552] 

[670, 5.9867605603, 8.6786046182] 

[680, 5.9191790747, 8.6278765278] 

[690, 5.8459630804, 8.7468064831] 

[700, 5.7783766526, 8.5812387774] 

[710, 5.7110570993, 8.5194160708] 

[720, 5.6457998917, 8.5049664897] 

[730, 5.5781986376, 8.4102625693] 

[740, 5.5135231173, 8.4171113045] 

[750, 5.4498617195, 8.3296941942] 

[760, 5.3880125965, 8.2809782951] 

[770, 5.3267767902, 8.2409525225] 

[780, 5.2712960803, 8.2079832015] 

[790, 5.2181159263, 8.2138977051] 

[800, 5.165847593, 8.1474205755] 

[810, 5.1181759236, 8.1244049072] 

[820, 5.0664008137, 8.0568168394] 

[830, 5.0189179332, 7.9742126465] 

[840, 4.9739258801, 8.0103169103] 

[850, 4.9301224064, 7.9482992849] 

[860, 4.8907717809, 7.8969308176] 

[870, 4.8511335242, 7.9245088639] 

[880, 4.8138274529, 7.858592864] 

[890, 4.7703985917, 7.9168720861] 

[900, 4.7381838903, 7.9030481154] 

[910, 4.6997169155, 7.859613234] 

[920, 4.6630088405, 7.8564241471] 

[930, 4.6293979907, 7.7805392358] 

[940, 4.596657448, 7.7906755017] 

[950, 4.5633530096, 7.8035219254] 

[960, 4.5236682969, 7.7791472404] 

[970, 4.4925868231, 7.7472101027] 

[980, 4.4521978587, 7.7518261325] 

[990, 4.4078843584, 7.7303555396] 

