Data type: eucl_motion, num_epochs: 1000, 	 lr: 0.05 
.7455217915] 

[20, 3.4804161164, 7.2218731296] 

[30, 3.5416197989, 7.5553741455] 

[40, 3.5054145844, 7.6132216915] 

[50, 3.4889187832, 7.5969533613] 

[60, 3.4832607995, 7.5860374205] 

[70, 3.6207940105, 7.7518817532] 

[80, 3.5584635252, 7.6733329527] 

[90, 3.5420507516, 7.7432693974] 

[100, 3.5455917791, 7.751155238] 

[110, 3.9733436986, 7.5400868077] 

[120, 3.9922611376, 7.5157933389] 

[130, 4.0199953149, 7.3830079109] 

[140, 4.0125586629, 7.4256094656] 

[150, 4.0105474681, 7.4208211591] 

[160, 4.0084485506, 7.3884109989] 

[170, 4.0062050761, 7.3767956149] 

[180, 4.0070024869, 7.4017353673] 

[190, 3.9638419827, 7.4264447612] 

[200, 4.5167167138, 7.5079931444] 

[210, 4.4757262936, 7.4216658069] 

[220, 4.5459004143, 7.5847079369] 

[230, 4.5455327208, 7.6060751638] 

[240, 4.544485486, 7.6846751551] 

[250, 5.3988827848, 7.9739045174] 

[260, 5.3536925528, 8.1901501071] 

[270, 5.2653512067, 7.9608242896] 

[280, 5.3503254879, 8.2444162676] 

[290, 5.334210724, 8.0639791181] 

[300, 5.3293022125, 8.1112611832] 

[310, 5.3276322708, 8.0719781691] 

[320, 5.3339601586, 8.1080986761] 

[330, 5.3269285133, 8.0666316863] 

[340, 5.3258595331, 8.0440890404] 

[350, 5.3341904613, 8.0451069493] 

[360, 4.9335502594, 8.3901948006] 

[370, 4.8252635137, 8.5938326928] 

[380, 4.8004392554, 8.6169561571] 

[390, 4.7759461191, 8.5457094254] 

[400, 4.7774712566, 8.6077447707] 

[410, 4.769699282, 8.6146122102] 

[420, 4.7768599167, 8.6841401131] 

[430, 4.3609045855, 8.9193833874] 

[440, 4.6565722261, 8.8038822297] 

[450, 5.0967389929, 8.5654828472] 

[460, 5.070261102, 8.507288779] 

[470, 5.0642707608, 8.503596152] 

[480, 5.0636841315, 8.5149929908] 

[490, 5.0639781875, 8.4477381552] 

[500, 5.0669345624, 8.4805543961] 

[510, 5.0604401253, 8.4103974373] 

[520, 5.0336958542, 8.4636584866] 

[530, 5.0255522323, 8.3864056987] 

[540, 5.0284453481, 8.4617270193] 

[550, 5.0332021366, 8.4685718167] 

[560, 5.028004017, 8.4541123913] 

[570, 5.0247970766, 8.4621641098] 

[580, 5.0267674991, 8.3639831543] 

[590, 5.0280400944, 8.4419752552] 

[600, 5.0234982881, 8.3605110415] 

[610, 5.0250441825, 8.4096915953] 

[620, 5.0252888174, 8.4025455598] 

[630, 5.0228661912, 8.3779789094] 

[640, 5.0251494496, 8.3810956401] 

[650, 5.024627562, 8.3698976578] 

[660, 5.0317674397, 8.3692243022] 

[670, 5.0239850867, 8.4111357658] 

[680, 5.024055759, 8.4118504678] 

[690, 5.0242292273, 8.3825467017] 

[700, 5.0232561243, 8.3929945423] 

[710, 5.0201257868, 8.4000657605] 

[720, 5.0246502957, 8.3988972325] 

[730, 5.02713371, 8.4024254584] 

[740, 5.0228088626, 8.3702618999] 

[750, 5.017979425, 8.3731797741] 

[760, 5.022567193, 8.4138626591] 

[770, 5.0592312832, 8.383972168] 

[780, 5.0587647473, 8.3766873267] 

[790, 5.0589416751, 8.342765562] 

[800, 5.0539713871, 8.4087238927] 

[810, 5.0527981283, 8.4017461961] 

[820, 5.0585769468, 8.3921813965] 

[830, 5.0565170721, 8.3688069005] 

[840, 5.0581459941, 8.341264294] 

[850, 5.0528302521, 8.361431491] 

[860, 5.0543944324, 8.3749419182] 

[870, 5.0556566493, 8.3871174474] 

[880, 5.0591907578, 8.3786404517] 

[890, 5.0585947384, 8.3854606382] 

[900, 5.0591986652, 8.3822247905] 

[910, 5.0564291024, 8.3905236029] 

[920, 5.0575079667, 8.4130967663] 

[930, 5.057914703, 8.3992821478] 

[940, 5.0586318043, 8.3573509955] 

[950, 5.055182206, 8.3458123976] 

[960, 5.0575643068, 8.3147484564] 

[970, 5.0516337653, 8.3341783093] 

[980, 5.0599533266, 8.312897713] 

[990, 5.0550621125, 8.3200407951] 

