Epoch: 0, 	 train loss: 37.309641479, 	 test loss: 35.0373810799 

Epoch: 10, 	 train loss: 37.0257899481, 	 test loss: 34.7708267704 

Epoch: 20, 	 train loss: 36.7984722925, 	 test loss: 34.5881820186 

Epoch: 30, 	 train loss: 36.6308356528, 	 test loss: 34.4372952369 

Epoch: 40, 	 train loss: 36.4587155238, 	 test loss: 34.2864714592 

Epoch: 50, 	 train loss: 36.2777984248, 	 test loss: 34.1243266444 

Epoch: 60, 	 train loss: 36.0918601341, 	 test loss: 33.9548812374 

Epoch: 70, 	 train loss: 35.8694490132, 	 test loss: 33.7730358493 

Epoch: 80, 	 train loss: 35.667011956, 	 test loss: 33.5758017263 

Epoch: 90, 	 train loss: 35.4393147457, 	 test loss: 33.3673410723 

Epoch: 100, 	 train loss: 35.1892317181, 	 test loss: 33.1502173639 

Epoch: 110, 	 train loss: 34.9379704896, 	 test loss: 32.9245132939 

Epoch: 120, 	 train loss: 34.6774378479, 	 test loss: 32.6970963017 

Epoch: 130, 	 train loss: 34.4071633034, 	 test loss: 32.4645484186 

Epoch: 140, 	 train loss: 34.142953726, 	 test loss: 32.2263183594 

Epoch: 150, 	 train loss: 33.8728570977, 	 test loss: 31.9754461473 

Epoch: 160, 	 train loss: 33.5986604884, 	 test loss: 31.7208074754 

Epoch: 170, 	 train loss: 33.3231631136, 	 test loss: 31.4661057995 

Epoch: 180, 	 train loss: 33.0431268978, 	 test loss: 31.2061176915 

Epoch: 190, 	 train loss: 32.7608983584, 	 test loss: 30.9437669323 

Epoch: 200, 	 train loss: 32.4649228239, 	 test loss: 30.678242345 

Epoch: 210, 	 train loss: 32.1766312943, 	 test loss: 30.4096581244 

Epoch: 220, 	 train loss: 31.9165118136, 	 test loss: 30.1394869897 

Epoch: 230, 	 train loss: 31.6273129112, 	 test loss: 29.868171938 

Epoch: 240, 	 train loss: 31.3295404226, 	 test loss: 29.595305412 

Epoch: 250, 	 train loss: 31.0413358742, 	 test loss: 29.3204522902 

Epoch: 260, 	 train loss: 30.7367353555, 	 test loss: 29.044366652 

Epoch: 270, 	 train loss: 30.4536271192, 	 test loss: 28.7705570344 

Epoch: 280, 	 train loss: 30.1768349095, 	 test loss: 28.4964658676 

Epoch: 290, 	 train loss: 29.9205188828, 	 test loss: 28.2307581748 

Epoch: 300, 	 train loss: 29.6725293364, 	 test loss: 27.9721659999 

Epoch: 310, 	 train loss: 29.4521148311, 	 test loss: 27.716257403 

Epoch: 320, 	 train loss: 29.2153537766, 	 test loss: 27.4677832819 

Epoch: 330, 	 train loss: 28.9992033306, 	 test loss: 27.225895051 

Epoch: 340, 	 train loss: 28.766453299, 	 test loss: 26.9916244015 

Epoch: 350, 	 train loss: 28.581888917, 	 test loss: 26.7684897146 

Epoch: 360, 	 train loss: 28.3661160488, 	 test loss: 26.5623050813 

Epoch: 370, 	 train loss: 28.1810396635, 	 test loss: 26.3594281597 

Epoch: 380, 	 train loss: 27.9754851183, 	 test loss: 26.1650370936 

Epoch: 390, 	 train loss: 27.7783025209, 	 test loss: 25.9827802104 

Epoch: 400, 	 train loss: 27.5964820028, 	 test loss: 25.8100684381 

Epoch: 410, 	 train loss: 27.4005507496, 	 test loss: 25.6332988124 

Epoch: 420, 	 train loss: 27.2057917668, 	 test loss: 25.4540031187 

Epoch: 430, 	 train loss: 27.029504444, 	 test loss: 25.280186807 

Epoch: 440, 	 train loss: 26.8644377056, 	 test loss: 25.1048603673 

Epoch: 450, 	 train loss: 26.6806047571, 	 test loss: 24.9308097593 

