Epoch: 640, 	 train loss: 767.0287196356, 	 test loss: 812.3215725806 

Epoch: 650, 	 train loss: 767.4371204453, 	 test loss: 814.669921875 

Epoch: 660, 	 train loss: 766.9947494939, 	 test loss: 822.9916204637 

Epoch: 670, 	 train loss: 767.0778087045, 	 test loss: 820.4931325605 

Epoch: 680, 	 train loss: 767.6277201417, 	 test loss: 822.6584551411 

Epoch: 690, 	 train loss: 766.1262651822, 	 test loss: 831.9862021169 

Epoch: 700, 	 train loss: 915.1120951417, 	 test loss: 896.5154989919 

Epoch: 710, 	 train loss: 915.4330718623, 	 test loss: 917.4055569556 

Epoch: 720, 	 train loss: 915.043395749, 	 test loss: 912.6483114919 

Epoch: 730, 	 train loss: 915.4676745951, 	 test loss: 920.5844884073 

Epoch: 740, 	 train loss: 915.2850455466, 	 test loss: 901.0017641129 

Epoch: 750, 	 train loss: 915.2533527328, 	 test loss: 888.0912298387 

Epoch: 760, 	 train loss: 914.8596912955, 	 test loss: 886.9806577621 

Epoch: 770, 	 train loss: 915.3787322874, 	 test loss: 882.71875 

Epoch: 780, 	 train loss: 915.3605769231, 	 test loss: 898.6844128024 

Epoch: 790, 	 train loss: 914.8572874494, 	 test loss: 892.6290322581 

Epoch: 800, 	 train loss: 915.2354504049, 	 test loss: 891.6435231855 

Epoch: 810, 	 train loss: 914.8704453441, 	 test loss: 880.5280367944 

Epoch: 820, 	 train loss: 915.1918016194, 	 test loss: 892.6671496976 

Epoch: 830, 	 train loss: 915.4381958502, 	 test loss: 889.3861517137 

Epoch: 840, 	 train loss: 915.1195597166, 	 test loss: 884.7823840726 

Epoch: 850, 	 train loss: 914.720457996, 	 test loss: 887.0687373992 

Epoch: 860, 	 train loss: 914.8225581984, 	 test loss: 880.8952872984 

Epoch: 870, 	 train loss: 914.4342105263, 	 test loss: 890.2667590726 

Epoch: 880, 	 train loss: 914.7699898785, 	 test loss: 897.2527091734 

Epoch: 890, 	 train loss: 915.4107413968, 	 test loss: 888.6552419355 

Epoch: 900, 	 train loss: 915.151632085, 	 test loss: 892.3614541331 

Epoch: 910, 	 train loss: 914.7961791498, 	 test loss: 890.5400705645 

Epoch: 920, 	 train loss: 914.4293395749, 	 test loss: 887.9298765121 

Epoch: 930, 	 train loss: 915.6293016194, 	 test loss: 888.5914818548 

Epoch: 940, 	 train loss: 914.9859564777, 	 test loss: 887.293031754 

Epoch: 950, 	 train loss: 914.8149671053, 	 test loss: 888.7003528226 

Epoch: 960, 	 train loss: 914.6416371457, 	 test loss: 884.4536920363 

Epoch: 970, 	 train loss: 914.4998102227, 	 test loss: 894.7680821573 

Epoch: 980, 	 train loss: 915.7831477733, 	 test loss: 881.6280241935 

Epoch: 990, 	 train loss: 915.496520749, 	 test loss: 886.6513986895 

Epoch: 0, 	 train loss: 19.0737877973, 	 test loss: 18.1384080456 

Epoch: 10, 	 train loss: 18.6080327208, 	 test loss: 17.7729472499 

Epoch: 20, 	 train loss: 18.1574954137, 	 test loss: 17.4241195186 

Epoch: 30, 	 train loss: 17.7445656471, 	 test loss: 17.1021886026 

Epoch: 40, 	 train loss: 17.3408440347, 	 test loss: 16.8213146579 

Epoch: 50, 	 train loss: 16.9419459293, 	 test loss: 16.5242506458 

Epoch: 60, 	 train loss: 16.5414119829, 	 test loss: 16.2147994503 

Epoch: 70, 	 train loss: 16.1622082174, 	 test loss: 15.8960984753 

Epoch: 80, 	 train loss: 15.8138758856, 	 test loss: 15.6569597798 

Epoch: 90, 	 train loss: 15.4426417795, 	 test loss: 15.3915976247 

Epoch: 100, 	 train loss: 15.0446569775, 	 test loss: 15.1424521169 

Epoch: 110, 	 train loss: 14.6568331699, 	 test loss: 14.9018682664 

Epoch: 120, 	 train loss: 14.2777084783, 	 test loss: 14.7038229665 

Epoch: 130, 	 train loss: 13.9080706762, 	 test loss: 14.4143745668 

Epoch: 140, 	 train loss: 13.5778680099, 	 test loss: 14.1255847562 

Epoch: 150, 	 train loss: 13.2481407752, 	 test loss: 13.8822986234 

Epoch: 160, 	 train loss: 12.9338309717, 	 test loss: 13.5893456244 

Epoch: 170, 	 train loss: 12.6093265672, 	 test loss: 13.3850097656 

Epoch: 180, 	 train loss: 12.2927592042, 	 test loss: 13.1168350712 

Epoch: 190, 	 train loss: 11.9741062674, 	 test loss: 12.8440837245 

Epoch: 200, 	 train loss: 11.6800265293, 	 test loss: 12.6640201692 

Epoch: 210, 	 train loss: 11.4372756278, 	 test loss: 12.6035796135 

Epoch: 220, 	 train loss: 11.1683927837, 	 test loss: 12.5084730579 

Epoch: 230, 	 train loss: 10.9335799121, 	 test loss: 12.4087130639 

Epoch: 240, 	 train loss: 10.711726262, 	 test loss: 12.3083939091 

Epoch: 250, 	 train loss: 10.480016052, 	 test loss: 12.2242057554 

Epoch: 260, 	 train loss: 10.2769661722, 	 test loss: 12.1487928821 

Epoch: 270, 	 train loss: 10.0859276158, 	 test loss: 12.0318987446 

Epoch: 280, 	 train loss: 9.8890494528, 	 test loss: 11.8887949298 

Epoch: 290, 	 train loss: 9.6998216884, 	 test loss: 11.7887730752 

Epoch: 300, 	 train loss: 9.5246374462, 	 test loss: 11.6576429798 

Epoch: 310, 	 train loss: 9.3627939572, 	 test loss: 11.505906628 

Epoch: 320, 	 train loss: 9.2340725424, 	 test loss: 11.404964324 

Epoch: 330, 	 train loss: 9.0336459388, 	 test loss: 11.2630319903 

Epoch: 340, 	 train loss: 8.8839323839, 	 test loss: 11.1144999842 

Epoch: 350, 	 train loss: 8.7836904178, 	 test loss: 11.0091926821 

Epoch: 360, 	 train loss: 8.6387825784, 	 test loss: 11.0037684287 

Epoch: 370, 	 train loss: 8.4549773058, 	 test loss: 10.8593612179 

Epoch: 380, 	 train loss: 8.3101485403, 	 test loss: 10.7727710355 

Epoch: 390, 	 train loss: 8.2127117203, 	 test loss: 10.7355287613 

Epoch: 400, 	 train loss: 8.0711887375, 	 test loss: 10.6994451707 

Epoch: 410, 	 train loss: 7.92413849, 	 test loss: 10.6591855941 

Epoch: 420, 	 train loss: 7.7672875285, 	 test loss: 10.5463749055 

Epoch: 430, 	 train loss: 7.6459101009, 	 test loss: 10.5289808704 

Epoch: 440, 	 train loss: 7.5383429276, 	 test loss: 10.4914373582 

Epoch: 450, 	 train loss: 7.4085559922, 	 test loss: 10.3535658313 

Epoch: 460, 	 train loss: 7.3119870082, 	 test loss: 10.3208322833 

Epoch: 470, 	 train loss: 7.2457868445, 	 test loss: 10.2346910046 

Epoch: 480, 	 train loss: 7.1655041158, 	 test loss: 10.260543331 

Epoch: 490, 	 train loss: 7.0596805217, 	 test loss: 10.1582326581 

Epoch: 500, 	 train loss: 6.981836234, 	 test loss: 10.1972912204 

Epoch: 510, 	 train loss: 6.8851397433, 	 test loss: 10.1462087324 

Epoch: 520, 	 train loss: 6.8023884267, 	 test loss: 10.1079967868 

Epoch: 530, 	 train loss: 6.7083438765, 	 test loss: 10.0629754836 

Epoch: 540, 	 train loss: 6.6352188172, 	 test loss: 10.1017987651 

Epoch: 550, 	 train loss: 6.563227974, 	 test loss: 10.1511624244 

Epoch: 560, 	 train loss: 6.4854355785, 	 test loss: 10.1382042669 

Epoch: 570, 	 train loss: 6.3969034666, 	 test loss: 10.0798487509 

Epoch: 580, 	 train loss: 6.3145499905, 	 test loss: 10.075171686 

Epoch: 590, 	 train loss: 6.2346275422, 	 test loss: 10.0651668426 

Epoch: 600, 	 train loss: 6.1542795776, 	 test loss: 10.0003858997 

Epoch: 610, 	 train loss: 6.0911138743, 	 test loss: 9.9703310074 

Epoch: 620, 	 train loss: 6.0227742678, 	 test loss: 9.9919748614 

Epoch: 630, 	 train loss: 5.9544094564, 	 test loss: 9.9952382734 

Epoch: 640, 	 train loss: 5.9374500846, 	 test loss: 9.938675419 

Epoch: 650, 	 train loss: 5.873917182, 	 test loss: 9.9481476815 

Epoch: 660, 	 train loss: 5.8139450753, 	 test loss: 10.0317530478 

Epoch: 670, 	 train loss: 5.9773695479, 	 test loss: 9.9313000095 

Epoch: 680, 	 train loss: 5.8797108268, 	 test loss: 9.8797755088 

Epoch: 690, 	 train loss: 5.7881813204, 	 test loss: 9.826576479 

Epoch: 700, 	 train loss: 5.8571727923, 	 test loss: 9.8751624323 

Epoch: 710, 	 train loss: 5.7794273469, 	 test loss: 9.8354344522 

Epoch: 720, 	 train loss: 5.701715508, 	 test loss: 9.8557443926 

Epoch: 730, 	 train loss: 5.6358706826, 	 test loss: 9.8025581606 

Epoch: 740, 	 train loss: 5.581555324, 	 test loss: 9.7733134608 

Epoch: 750, 	 train loss: 5.633006231, 	 test loss: 9.7542124102 

Epoch: 760, 	 train loss: 5.5729851974, 	 test loss: 9.7446928947 

Epoch: 770, 	 train loss: 5.5151461088, 	 test loss: 9.7588737242 

Epoch: 780, 	 train loss: 5.4620450286, 	 test loss: 9.7495806294 

Epoch: 790, 	 train loss: 5.3250055352, 	 test loss: 9.9404415008 

Epoch: 800, 	 train loss: 5.2443323792, 	 test loss: 9.9409839261 

Epoch: 810, 	 train loss: 5.1928473716, 	 test loss: 9.9108699676 

Epoch: 820, 	 train loss: 5.1316911334, 	 test loss: 9.9622418804 

Epoch: 830, 	 train loss: 4.9984120975, 	 test loss: 10.0058485462 

Epoch: 840, 	 train loss: 4.9333273698, 	 test loss: 9.9766383017 

Epoch: 850, 	 train loss: 4.9690717319, 	 test loss: 9.9534882576 

Epoch: 860, 	 train loss: 4.9060799911, 	 test loss: 9.9378337245 

Epoch: 870, 	 train loss: 4.8474269357, 	 test loss: 10.0346295757 

Epoch: 880, 	 train loss: 4.7999554221, 	 test loss: 9.9584734517 

Epoch: 890, 	 train loss: 4.7490437002, 	 test loss: 10.0373584378 

Epoch: 900, 	 train loss: 4.6903945985, 	 test loss: 10.05893535 

Epoch: 910, 	 train loss: 4.6441052394, 	 test loss: 10.0910359044 

