Data type: log_quat, num_epochs: 1000, 	 lr: 0.0005 
4038, 426.943422379] 

[20, 268.2563575405, 438.6004284274] 

[30, 270.2122026822, 431.0724546371] 

[40, 267.6659919028, 432.4914314516] 

[50, 267.2993737348, 462.8190839214] 

[60, 267.3886323381, 444.9462575605] 

[70, 261.6155902075, 463.6918472782] 

[80, 321.2715080972, 448.0785030242] 

[90, 334.7859628036, 515.0300529234] 

[100, 486.8447937753, 634.1049647177] 

[110, 703.7243800607, 1098.1024445565] 

[120, 701.9204200405, 900.5982862903] 

[130, 700.7510754049, 912.8996345766] 

[140, 700.4328188259, 916.3996345766] 

[150, 714.2406376518, 1023.4819178427] 

[160, 831.3293269231, 1007.4587953629] 

[170, 830.518534919, 1012.7639238911] 

[180, 839.8269230769, 1021.4484627016] 

[190, 712.1096912955, 856.9428553427] 

[200, 840.6115890688, 1032.7565524194] 

[210, 805.8065536437, 956.8713457661] 

[220, 793.8707616397, 925.9778855847] 

[230, 759.2152074899, 805.3053175403] 

[240, 743.8574139676, 736.8600050403] 

[250, 742.6559337045, 728.562436996] 

[260, 741.9692560729, 733.945375504] 

[270, 741.9510374494, 732.4274823589] 

[280, 741.6644736842, 726.2356980847] 

[290, 741.1107034413, 729.1126512097] 

[300, 808.5824898785, 916.4644657258] 

[310, 797.7324772267, 895.1441532258] 

[320, 798.2024924089, 894.0110257056] 

[330, 797.9686867409, 890.2622227823] 

[340, 798.5701543522, 868.0006930444] 

[350, 805.05326417, 872.2281376008] 

[360, 805.2323507085, 889.5934349798] 

[370, 805.5108805668, 900.6489415323] 

[380, 805.1977479757, 908.3864037298] 

[390, 849.9610956478, 906.9403351815] 

[400, 847.231465081, 900.7755796371] 

[410, 848.3372343117, 974.1505796371] 

[420, 850.0443446356, 973.7275075605] 

[430, 849.2108426113, 975.2351940524] 

[440, 848.9581224696, 978.9673009073] 

[450, 848.5867282389, 976.4495337702] 

[460, 848.7250126518, 975.052797379] 

[470, 849.0083502024, 980.7469758065] 

[480, 842.8955592105, 979.6186995968] 

[490, 841.8250253036, 977.8194934476] 

[500, 841.9222545547, 976.3296370968] 

[510, 841.7293775304, 977.5037172379] 

[520, 841.7894736842, 976.6720640121] 

[530, 841.3887272267, 978.8410408266] 

[540, 840.8851847166, 980.3675655242] 

[550, 841.424215587, 977.1467993952] 

[560, 841.5208755061, 966.4236391129] 

[570, 822.3722798583, 1000.2673891129] 

[580, 813.1014043522, 1085.3116179435] 

[590, 811.8040865385, 1057.2643649194] 

[600, 810.7622090081, 1067.5472530242] 

[610, 810.4922191296, 1076.2605846774] 

[620, 809.0488360324, 1077.1799395161] 

[630, 809.1386639676, 1068.7927167339] 

[640, 810.3013031377, 1080.0592237903] 

[650, 810.5249873482, 1083.9663558468] 

[660, 809.1559969636, 1086.3681955645] 

[670, 808.9848810729, 1092.2092993952] 

[680, 809.1571356275, 1089.7116935484] 

[690, 809.0903340081, 1086.9868951613] 

[700, 808.7921305668, 1091.1818296371] 

[710, 808.994812753, 1089.6300403226] 

[720, 809.104187753, 1092.8756300403] 

[730, 809.8546938259, 1092.6572580645] 

[740, 808.7940283401, 1091.7716733871] 

[750, 808.9171305668, 1090.6648185484] 

[760, 809.1924342105, 1089.6599042339] 

[770, 808.675923583, 1089.0677923387] 

[780, 809.2641067814, 1090.7468497984] 

[790, 808.9223810729, 1090.5590977823] 

[800, 809.4019483806, 1089.5821572581] 

[810, 809.341409413, 1089.0543094758] 

[820, 809.2563259109, 1091.3753780242] 

[830, 809.0296052632, 1090.0899697581] 

[840, 808.6854757085, 1089.9594254032] 

[850, 809.1840840081, 1090.4466985887] 

[860, 809.0824266194, 1090.8862147177] 

[870, 809.2200784413, 1089.8428679435] 

[880, 809.0413081984, 1092.0114667339] 

[890, 808.5882464575, 1091.0122227823] 

[900, 808.9839954453, 1092.5916078629] 

[910, 808.8798076923, 1089.9954637097] 

[920, 808.5678770243, 1091.1316784274] 

[930, 809.3048456478, 1091.0592237903] 

[940, 808.2284286437, 1089.7397933468] 

[950, 808.8061740891, 1091.4420362903] 

[960, 809.5449139676, 1090.7573084677] 

[970, 809.0209387652, 1089.5016381048] 

[980, 808.6823760121, 1090.7780997984] 

[990, 808.704832996, 1091.4698840726] 

