Data type: log_quat, num_epochs: 1000, 	 lr: 0.005 
 9.7954042496] 

[20, 4.7170578188, 9.548812374] 

[30, 4.055338624, 10.2540667134] 

[40, 4.5818315884, 10.12856465] 

[50, 5.0715618674, 9.9684605752] 

[60, 4.77363815, 9.3317398564] 

[70, 4.9987699069, 9.7988379694] 

[80, 4.5242544321, 10.2197718466] 

[90, 4.5725349704, 10.3524859028] 

[100, 4.0623653273, 10.3362505513] 

[110, 3.919749148, 10.6308219664] 

[120, 3.7686394448, 10.0372816517] 

[130, 4.2616065639, 11.2883103894] 

[140, 4.0810509809, 11.1698933263] 

[150, 4.1380961183, 11.4152576077] 

[160, 3.6602348297, 11.9212961505] 

[170, 3.7664446503, 11.8320253434] 

[180, 3.6073593572, 12.1249291205] 

[190, 3.5285817505, 12.1788359611] 

[200, 3.5643641669, 12.0471004363] 

[210, 3.5430710518, 12.275096278] 

[220, 3.5335809499, 12.4485778809] 

[230, 3.5178830537, 12.4236184397] 

[240, 3.8657411892, 11.6712931971] 

[250, 3.8843692671, 11.6366990612] 

[260, 4.0089951488, 11.8279605989] 

[270, 3.8466184052, 11.9686594317] 

[280, 4.2063660409, 11.5252163795] 

[290, 4.1195948056, 11.5785591372] 

[300, 3.9971266526, 11.6539779171] 

[310, 3.9576416016, 11.4193489321] 

[320, 3.9403192312, 11.0697356193] 

[330, 4.0429769045, 11.3795530258] 

[340, 4.0382314829, 11.5019836426] 

[350, 4.0254128645, 11.3260222404] 

[360, 4.0222716544, 11.337335402] 

[370, 4.0163539624, 11.4391095561] 

[380, 4.0315566584, 11.3174477854] 

[390, 3.8493303924, 11.2835240518] 

[400, 3.7135069071, 10.6839373189] 

[410, 3.553432202, 10.5809975901] 

[420, 3.6518218623, 10.8514689784] 

[430, 4.2000613811, 10.6460197203] 

[440, 4.0653110767, 10.8626423497] 

[450, 4.1720395725, 10.9315746677] 

[460, 4.1292524454, 11.0557231288] 

[470, 4.2422033148, 11.2988960512] 

[480, 4.4077929292, 11.8760553175] 

[490, 4.2746932922, 11.7299568422] 

[500, 4.2537624344, 12.0252094884] 

[510, 4.2091341212, 12.0974475491] 

[520, 4.1895831027, 11.8842271374] 

[530, 4.1772811828, 12.0904993857] 

[540, 4.1717366207, 12.2118461363] 

[550, 4.1737757386, 12.0225180349] 

[560, 4.1596650035, 11.9052616242] 

[570, 4.159787568, 11.9055175781] 

[580, 4.1528947961, 12.1602487872] 

[590, 4.1481197218, 12.0823974609] 

[600, 4.1523052015, 12.1424580236] 

[610, 4.144876704, 11.9238448604] 

[620, 4.1452597182, 11.7511291504] 

[630, 4.1406744212, 11.6630022603] 

[640, 4.1414624419, 11.6928553427] 

[650, 4.1435289885, 11.481873543] 

[660, 4.1392276162, 11.5744678128] 

[670, 4.1412986107, 11.6555973176] 

[680, 4.1442354642, 11.6224808231] 

[690, 4.1360414327, 11.6056420111] 

[700, 4.1351916356, 11.6300265404] 

[710, 4.1329619991, 11.6202313823] 

[720, 4.1289494935, 11.7090237525] 

[730, 4.1324840963, 11.7139892578] 

[740, 4.1350110012, 11.5374125819] 

[750, 4.1346499794, 11.6506682365] 

[760, 4.1314578655, 11.6288245416] 

[770, 4.132075136, 11.5718905541] 

[780, 4.1286579086, 11.5619378859] 

[790, 4.1304793261, 11.6313575006] 

[800, 4.130236421, 11.4692658455] 

[810, 4.126710467, 11.7218746062] 

[820, 4.1343598771, 11.4275138609] 

[830, 4.1273954446, 11.7213833717] 

[840, 4.1323064271, 11.7156116116] 

[850, 4.1213475278, 11.5465619487] 

[860, 4.1298796001, 11.6316016413] 

[870, 4.1245991942, 11.4180662094] 

[880, 4.123273224, 11.4683463804] 

[890, 4.1247007548, 11.4417124102] 

[900, 4.127522457, 11.5550674931] 

[910, 4.1238598534, 11.5176824754] 

[920, 4.1275708897, 11.4704068092] 

[930, 4.1389921242, 11.5237495668] 

[940, 4.0729308341, 11.5510952857] 

[950, 4.0700868923, 11.5098325668] 

[960, 4.0725100127, 11.498714324] 

[970, 4.0692464852, 11.4960809523] 

[980, 4.0742592754, 11.4390829763] 

[990, 4.0684258465, 11.3007930633] 

