Data type: pos, num_epochs: 1000, 	 lr: 0.0001 
866397, 79.095608619] 

[20, 88.4435965967, 78.989171182] 

[30, 88.3428169281, 78.8825683594] 

[40, 88.229899418, 78.7758080267] 

[50, 88.13138917, 78.6634009577] 

[60, 87.9876486589, 78.5447958669] 

[70, 87.8784318067, 78.418000252] 

[80, 87.7506800354, 78.2850144909] 

[90, 87.5881990132, 78.1426805066] 

[100, 87.4496694712, 77.9937941028] 

[110, 87.2924705845, 77.8385600428] 

[120, 87.1330259995, 77.679671749] 

[130, 86.9565884362, 77.5143412928] 

[140, 86.7873307819, 77.3457897555] 

[150, 86.5997991523, 77.173891129] 

[160, 86.4385674975, 76.9995274698] 

[170, 86.2287291245, 76.8219663558] 

