Data type: pos, num_epochs: 1000, 	 lr: 0.001 
0297792, 28.3174261278] 

[20, 23.4514011893, 28.6230764081] 

[30, 23.1737648659, 28.6971927766] 

[40, 22.6376814746, 28.3506174395] 

[50, 22.2797199203, 28.3705050561] 

[60, 21.8126265182, 28.0031147618] 

[70, 21.3905538335, 28.0669988817] 

[80, 21.0763616523, 28.0464753182] 

[90, 20.7854567308, 27.6695970105] 

[100, 20.7128431807, 27.4425560736] 

[110, 20.2385244022, 27.0244140625] 

[120, 20.0113372185, 26.5638211158] 

[130, 19.5190192466, 26.4375925372] 

[140, 19.1459941169, 26.5936909337] 

[150, 18.6818659856, 26.3065677766] 

[160, 18.3251775209, 26.0379008632] 

[170, 18.00430755, 25.7748019311] 

[180, 17.908448254, 25.7308920583] 

[190, 17.9720454042, 25.677242156] 

[200, 18.0026351373, 25.2369286322] 

[210, 17.6045257939, 25.0221242597] 

[220, 17.3276129966, 24.7439772083] 

[230, 17.1117511703, 24.5892944336] 

[240, 16.843542431, 24.0961087135] 

[250, 16.7337621774, 24.1663542717] 

[260, 16.4159681807, 24.1138325353] 

[270, 16.2151580687, 23.7893302671] 

[280, 15.9591978745, 23.6240273753] 

[290, 15.750065236, 23.5296552104] 

[300, 15.6436989973, 23.1822588521] 

[310, 15.4096630266, 23.1283274005] 

[320, 15.1628052252, 23.2405100176] 

[330, 15.2459286833, 23.6225290606] 

[340, 15.1079210289, 23.5638526178] 

[350, 14.8026968149, 23.4684763262] 

[360, 14.6341112886, 23.3968446793] 

[370, 14.6642166941, 23.3384517547] 

[380, 14.3641154795, 23.3329644972] 

[390, 14.6904583518, 23.4129835559] 

[400, 14.3628967532, 23.855452999] 

[410, 14.1297118152, 23.8087315713] 

[420, 14.1245828852, 23.7139242849] 

[430, 13.9684010865, 23.7038908928] 

[440, 13.8508538003, 23.7604507939] 

[450, 13.7363992915, 23.819645051] 

[460, 13.8135012731, 23.6597545993] 

[470, 13.6567412465, 23.6814220798] 

[480, 13.4911111067, 23.713398595] 

[490, 13.3317455956, 24.0537522839] 

[500, 13.1937498023, 23.9776020665] 

[510, 13.101025786, 24.0900485131] 

[520, 13.0344554577, 24.1279395319] 

[530, 12.8679802157, 24.3262703188] 

[540, 12.7740018899, 24.1251122259] 

[550, 12.8420410156, 24.0478830645] 

[560, 12.5923019595, 24.3792960874] 

[570, 12.9341769199, 24.021198888] 

[580, 12.5500122565, 24.1489218435] 

[590, 12.4119136671, 24.1384237966] 

[600, 12.5421503353, 23.7646976594] 

[610, 12.4170208518, 23.8528462072] 

[620, 12.2797841678, 23.9309219853] 

[630, 12.1695383666, 23.9937330677] 

[640, 12.161171361, 24.0578495149] 

[650, 12.0319735261, 24.0865045363] 

[660, 11.954333842, 24.0423583984] 

[670, 11.8975666988, 24.0567115045] 

[680, 11.8502439429, 24.1069060295] 

[690, 11.7911372011, 24.0386962891] 

[700, 11.7445913462, 24.0764081401] 

[710, 11.6966073349, 24.2046430034] 

[720, 11.6480974823, 24.2675170898] 

[730, 11.9318254602, 24.3001571163] 

[740, 11.6823226373, 24.4389845325] 

[750, 11.5722270765, 24.498539094] 

[760, 11.4716055557, 24.5071174868] 

[770, 12.2293933451, 24.504874937] 

[780, 11.8571312785, 24.4822604272] 

[790, 11.7337710732, 24.2208311019] 

[800, 11.5866906788, 24.2451427829] 

[810, 11.4722401237, 24.2477633569] 

[820, 11.3734313718, 24.272008096] 

[830, 11.3550793111, 24.5630591608] 

[840, 11.2592229805, 24.5556502804] 

[850, 11.2018163272, 24.8970415669] 

[860, 11.1511171163, 24.9256198022] 

[870, 11.1090557392, 24.9872200258] 

[880, 11.0741841552, 24.9870073872] 

[890, 11.0240157278, 25.0117600964] 

[900, 11.002153775, 24.9842923072] 

[910, 10.955297555, 24.9711835307] 

[920, 10.9223622928, 24.9921382781] 

[930, 10.8863382069, 25.0424529045] 

[940, 10.8498070597, 25.0437858335] 

[950, 10.8177851009, 25.0554789882] 

[960, 10.7839800259, 25.0482906218] 

[970, 10.7482050228, 25.0588142641] 

[980, 10.7177477385, 25.0779281124] 

[990, 10.6837054419, 25.0634588426] 

