Data type: pos, num_epochs: 1000, 	 lr: 0.05 
90900968, 29.2763022146] 

[20, 10.0737354109, 30.2222171907] 

[30, 10.0418755535, 30.0239119991] 

[40, 10.0319507923, 29.8187433058] 

[50, 10.1405192387, 29.3893964214] 

[60, 9.4733807645, 28.9695926789] 

[70, 9.2342899956, 28.8017302482] 

[80, 9.2138464306, 29.1275122858] 

[90, 9.1661678422, 28.7422741305] 

[100, 9.0072253764, 28.6981535881] 

[110, 8.9886113835, 28.0141857516] 

[120, 8.9314636972, 29.3075364636] 

[130, 8.9157695075, 28.5751145886] 

[140, 8.8090523785, 28.5182081653] 

[150, 8.755399758, 29.1021059098] 

[160, 8.7519392871, 28.909902265] 

[170, 8.7264804608, 28.2840044575] 

[180, 8.732848874, 28.8836689611] 

[190, 8.7190722261, 28.8761458858] 

[200, 8.7175658685, 28.9032671528] 

[210, 8.6339234881, 29.1981535881] 

[220, 8.6219309448, 28.6212453535] 

[230, 8.7165912829, 28.6356201172] 

[240, 8.6979555447, 28.8784730973] 

[250, 8.7130932518, 29.02886766] 

[260, 8.6923136228, 28.5826100995] 

[270, 8.6938782974, 28.9050352035] 

[280, 8.6934236225, 28.7893538936] 

[290, 8.6899740242, 28.5316319619] 

[300, 8.6898939619, 28.5491234564] 

[310, 8.6984052774, 28.8793472782] 

[320, 8.6893503289, 28.9780017484] 

[330, 8.7057453109, 28.9659325384] 

[340, 8.6797477938, 29.1919752552] 

[350, 8.6805948728, 28.9126980689] 

[360, 8.6999363455, 29.3895342427] 

[370, 8.6786338405, 29.0197793284] 

[380, 8.6755311788, 28.6657104492] 

[390, 8.6629030791, 29.3892133159] 

[400, 8.6907351104, 29.3870810232] 

[410, 8.6767390325, 28.4146649761] 

[420, 8.6871975424, 29.0523071289] 

[430, 8.6665562927, 29.3120353453] 

[440, 8.6712947954, 29.189453125] 

[450, 8.6720341362, 29.2531994235] 

[460, 8.6643867029, 28.9620400706] 

[470, 8.6617683689, 29.3058451991] 

[480, 8.6645962487, 29.2028178553] 

[490, 8.6594020828, 28.904121645] 

[500, 8.659638316, 29.1640349357] 

[510, 8.6521816485, 29.2999247889] 

[520, 8.6602244512, 29.2251705047] 

[530, 8.6640901759, 29.1530801096] 

[540, 8.6687891416, 29.3300387475] 

[550, 8.6593121363, 29.3866439327] 

[560, 8.6722347862, 29.6329857611] 

[570, 8.651470972, 29.2611083984] 

[580, 8.6534715413, 29.2628272272] 

[590, 8.654898825, 29.3554667811] 

[600, 8.6586103555, 29.2862568517] 

[610, 8.6530425655, 29.2465682491] 

[620, 8.6478760754, 29.0043748425] 

[630, 8.6432532183, 28.8038192257] 

[640, 8.6701798536, 29.4645956716] 

[650, 8.6558180589, 29.4250763924] 

[660, 8.6614293396, 29.2556821762] 

[670, 8.6434380535, 29.4182306105] 

[680, 8.6382063275, 29.1937807145] 

[690, 8.6556945059, 29.407933389] 

[700, 8.6463776253, 29.3968958701] 

[710, 8.6453447226, 29.1054254347] 

[720, 8.6453338499, 29.0753291961] 

[730, 8.6437840018, 29.100434334] 

[740, 8.6453338499, 29.2019515499] 

[750, 8.6495158701, 29.3377331149] 

[760, 8.6395327919, 29.2275764711] 

[770, 8.640391732, 29.3466915008] 

[780, 8.6391888205, 29.2786569903] 

[790, 8.6499231006, 29.4128654234] 

[800, 8.6448366729, 29.3122578283] 

[810, 8.6393874937, 29.2717344223] 

[820, 8.643483521, 29.2066512569] 

[830, 8.6445599143, 29.214605516] 

[840, 8.6463716947, 29.1859406502] 

[850, 8.6423152043, 29.4150272492] 

[860, 8.6565188512, 29.262543709] 

[870, 8.6435368959, 29.2571371755] 

[880, 8.6470853365, 29.3817847467] 

[890, 8.6348743516, 29.3375165386] 

[900, 8.6435270116, 29.314898091] 

[910, 8.639441857, 29.4059526997] 

[920, 8.6270331873, 29.1442418252] 

[930, 8.6297325721, 29.2466745684] 

[940, 8.6370656867, 29.0639195596] 

[950, 8.6331307724, 29.3304010207] 

[960, 8.632870817, 29.1441355059] 

[970, 8.6411755519, 29.0844490297] 

[980, 8.6319802473, 29.4818351499] 

[990, 8.6380689366, 29.3120294386] 

