Data type: pos_diff_start, num_epochs: 1000, 	 lr: 0.05 
, 321.5276884191, 160.1937471278, 160.1937490536] 

[20, 293.6490119485, 218.9365808824, 218.9365825209] 

[30, 328.5827493107, 234.6451775046, 234.6451769603] 

[40, 338.5654296875, 173.9140050551, 173.9140144279] 

[50, 332.60546875, 213.1530330882, 213.1530061481] 

[60, 310.7589039522, 421.0209673713, 421.0209767522] 

[70, 338.8285845588, 323.3157743566, 323.3157752505] 

[80, 302.2712545956, 88.6300120634, 88.6300021464] 

[90, 310.7651367188, 221.8928653493, 221.8928603439] 

[100, 326.1794289982, 200.9193474265, 200.9193323166] 

[110, 304.2637867647, 135.0954159007, 135.0954221206] 

[120, 352.9784869026, 105.0706643497, 105.0706559237] 

[130, 309.7734375, 246.1377527574, 246.1377741084] 

[140, 302.4489315257, 423.1924689798, 423.1925335423] 

[150, 295.1828182445, 193.0834242877, 193.0834255015] 

[160, 336.4265280331, 305.8030790441, 305.8031382816] 

[170, 308.017176011, 186.2483915441, 186.2483956774] 

[180, 312.9872185202, 141.085334329, 141.0853342465] 

[190, 302.3523667279, 279.8525677849, 279.8525760532] 

[200, 318.4034064798, 121.9206399357, 121.9206336391] 

[210, 345.6638327206, 276.6777918199, 276.6778238318] 

[220, 305.1217256434, 302.9534983915, 302.9534489084] 

[230, 323.4019129136, 256.0247300092, 256.0247309366] 

[240, 309.2475585938, 288.7504595588, 288.7504386065] 

[250, 317.9855526195, 253.4527516085, 253.4527680053] 

[260, 317.3112936581, 390.779497932, 390.7794512613] 

[270, 324.7257008272, 195.1787827436, 195.1787991389] 

[280, 323.6483800551, 114.6245691636, 114.6245654749] 

[290, 309.3455307904, 242.3288430607, 242.3288288869] 

[300, 329.4719381893, 301.3561293658, 301.3561216281] 

[310, 298.8096852022, 164.9088350184, 164.9088278144] 

[320, 306.6038315717, 273.5644244026, 273.5644255289] 

[330, 309.046472886, 215.0863252528, 215.0863041466] 

[340, 319.8208869485, 177.6816837086, 177.6816764282] 

[350, 293.5208524816, 354.2937729779, 354.2938308109] 

[360, 329.8154584099, 342.8795955882, 342.8795978537] 

[370, 340.2677217371, 203.8632668888, 203.8632819535] 

[380, 329.2409524357, 241.0430261949, 241.0430290019] 

[390, 326.6222713695, 300.5938648897, 300.5938962009] 

[400, 328.7530158548, 196.0948988971, 196.0948760926] 

[410, 300.3819221048, 229.7571088006, 229.7571065611] 

[420, 354.6984719669, 333.3659237132, 333.3658979663] 

[430, 347.6991613051, 211.3688964844, 211.3688768603] 

[440, 327.1671070772, 218.9590418199, 218.959048546] 

[450, 323.9508559283, 285.4559110754, 285.4559254955] 

[460, 350.9815602022, 321.0875172335, 321.0875077851] 

[470, 319.0178079044, 298.7572667739, 298.7573122387] 

[480, 304.4873334099, 70.2503805722, 70.2503770619] 

[490, 319.0977711397, 126.8038545496, 126.8038343344] 

[500, 336.3588292739, 256.5708007812, 256.5708113766] 

[510, 333.2269358915, 217.8204273897, 217.8204550425] 

[520, 311.1083409926, 162.5488712086, 162.5488684436] 

[530, 324.6405675551, 365.685144761, 365.6851783453] 

[540, 304.8852251838, 219.3729607077, 219.3729513529] 

[550, 338.9625746783, 351.6725068934, 351.6725707631] 

[560, 327.1420611213, 239.801657284, 239.8016346357] 

[570, 311.872443704, 376.0149931066, 376.0150126214] 

[580, 325.4367819393, 204.2491526884, 204.2491495382] 

[590, 307.9291417739, 118.3959242877, 118.3959323992] 

[600, 320.6661017923, 191.3090389476, 191.3090423862] 

[610, 348.4522920496, 300.8154009651, 300.8153798012] 

[620, 322.7464384191, 200.215446921, 200.2154407574] 

[630, 316.7688706342, 239.3145392923, 239.3145346133] 

[640, 327.5251034007, 299.1864659926, 299.1864614992] 

[650, 327.9400275735, 336.9135167739, 336.9134983466] 

[660, 312.6241670496, 301.1876436121, 301.1876518168] 

[670, 333.7273092831, 259.3916590074, 259.3916549323] 

[680, 326.4139476103, 144.0169175092, 144.0169209101] 

[690, 317.6696059283, 281.162712546, 281.1627186927] 

[700, 330.4521771599, 143.2871237362, 143.2871538929] 

[710, 331.9013384651, 367.812097886, 367.8120921373] 

[720, 327.0993508732, 137.2161506204, 137.2161468651] 

[730, 324.0826056985, 282.5430261949, 282.5430308658] 

[740, 315.9125402114, 312.8683651195, 312.8683726697] 

[750, 330.7961282169, 359.9677159926, 359.9677001085] 

[760, 322.7408949908, 180.1903435202, 180.1903528795] 

[770, 329.5912224265, 149.9491900276, 149.9491897335] 

[780, 298.9368681066, 135.0334185432, 135.033427173] 

[790, 342.975212546, 237.4753705193, 237.4753601372] 

[800, 329.7378216912, 137.3008674173, 137.300856313] 

[810, 312.7298368566, 190.3186178768, 190.3186197449] 

[820, 333.2895795037, 76.0028507008, 76.0028586659] 

[830, 340.828728171, 199.6107680377, 199.6107812978] 

[840, 341.0358743107, 293.4167336857, 293.4167505964] 

[850, 319.995892693, 238.3437930836, 238.3437605398] 

[860, 302.5004308364, 147.229118796, 147.2291204963] 

[870, 310.9765912224, 235.6953699449, 235.695368952] 

[880, 322.7446289062, 219.6179199219, 219.6179116944] 

[890, 328.6427217371, 301.3671300551, 301.3671382244] 

[900, 299.6218405331, 79.136754653, 79.1367490521] 

[910, 342.4756721048, 155.1927992877, 155.1927766479] 

[920, 311.518928079, 220.6482795267, 220.6482834323] 

[930, 316.7693589154, 303.0467888327, 303.0467946264] 

[940, 339.8748276654, 334.9816750919, 334.9816655766] 

[950, 296.7110523897, 383.739631204, 383.7396761745] 

[960, 301.369341682, 149.3317153033, 149.3317294652] 

[970, 337.0224896599, 154.9943704044, 154.9943707173] 

[980, 337.5696806066, 231.2477740119, 231.2477797844] 

[990, 289.6426068474, 95.9888916016, 95.9889104003] 

