Data type: quat, num_epochs: 1000, 	 lr: 0.0001 
83186, 39.7051332535] 

[20, 39.6863890119, 39.5470876386] 

[30, 39.5212748292, 39.3913377331] 

[40, 39.3414291814, 39.224562122] 

[50, 39.1697241903, 39.0436263546] 

[60, 38.9741626075, 38.8563429309] 

[70, 38.7785456731, 38.6580298639] 

[80, 38.5424982604, 38.457476216] 

[90, 38.3254009046, 38.2490864415] 

[100, 38.0987395622, 38.0306317729] 

[110, 37.8793451101, 37.8060814642] 

[120, 37.6327373798, 37.5745928364] 

[130, 37.3928074393, 37.3380441973] 

[140, 37.1210107224, 37.1004638672] 

[150, 36.8808791435, 36.8591229839] 

[160, 36.6165074646, 36.6130686114] 

[170, 36.3454342738, 36.3615368259] 

[180, 36.0816398343, 36.1058625252] 

[190, 35.8189880124, 35.8467741935] 

[200, 35.5369195977, 35.582921182] 

[210, 35.2769444269, 35.3188319052] 

[220, 34.9935436172, 35.0527264995] 

[230, 34.7237435159, 34.7829865486] 

[240, 34.4489103618, 34.5086394279] 

[250, 34.1746504934, 34.2358004662] 

[260, 33.8798828125, 33.9619101247] 

[270, 33.6038279669, 33.6861217868] 

[280, 33.3266305035, 33.4084393901] 

[290, 33.0472130409, 33.1322218372] 

[300, 32.7526845585, 32.8542578913] 

[310, 32.4719366776, 32.5787077873] 

[320, 32.1998552948, 32.3060735887] 

[330, 31.9415920736, 32.0336776241] 

[340, 31.6438610988, 31.7610178301] 

[350, 31.3939381959, 31.4859756962] 

[360, 31.1333462487, 31.2195040795] 

[370, 30.869826591, 30.9602976153] 

[380, 30.6266921812, 30.7078857422] 

[390, 30.4044728144, 30.4575175624] 

[400, 30.186375174, 30.2109256867] 

[410, 29.9555762905, 29.9705830236] 

[420, 29.7581525177, 29.7362848097] 

[430, 29.5363957332, 29.4984406502] 

[440, 29.3086787544, 29.2641345609] 

[450, 29.0917533844, 29.0389896516] 

[460, 28.8679782389, 28.8148902155] 

[470, 28.6762655776, 28.5927714686] 

[480, 28.460368168, 28.3779926915] 

[490, 28.2423614626, 28.1698569021] 

[500, 28.042114752, 27.9578542402] 

[510, 27.8290066738, 27.7531738281] 

[520, 27.6414888822, 27.5400252804] 

[530, 27.4352463942, 27.3384360037] 

[540, 27.2343176714, 27.1366419638] 

[550, 27.0465152138, 26.9471002394] 

[560, 26.8724182376, 26.7841324345] 

[570, 26.7045147236, 26.6278351815] 

[580, 26.5191813481, 26.4589804372] 

[590, 26.3301848747, 26.281948951] 

[600, 26.1714499779, 26.1026532573] 

[610, 26.0167775019, 25.9404552829] 

[620, 25.8467330624, 25.7652312248] 

[630, 25.6769772425, 25.5646933279] 

[640, 25.509287228, 25.3989415323] 

[650, 25.3263181617, 25.234676238] 

[660, 25.1636631769, 25.0670540102] 

[670, 25.0004032768, 24.8845136089] 

[680, 24.8245409761, 24.6995829921] 

[690, 24.657556696, 24.5257568359] 

[700, 24.5050903815, 24.3609481319] 

[710, 24.32505891, 24.1909691595] 

[720, 24.146407278, 24.0222837387] 

[730, 23.9850056142, 23.8550769437] 

[740, 23.8169162766, 23.6954759167] 

[750, 23.6404273153, 23.5202105122] 

[760, 23.4764557503, 23.3480500252] 

[770, 23.3022520243, 23.1798587922] 

[780, 23.1302781819, 23.0131934381] 

[790, 22.9688112823, 22.8429270098] 

[800, 22.7980808768, 22.6723120905] 

[810, 22.6176876423, 22.5005158455] 

[820, 22.4682696261, 22.3278060421] 

[830, 22.2992215176, 22.1538952243] 

[840, 22.1288667131, 21.9796930129] 

[850, 21.9623885058, 21.8132993637] 

[860, 21.7995635121, 21.6606366557] 

[870, 21.6474609375, 21.5157470703] 

[880, 21.490479504, 21.3678746377] 

[890, 21.349156677, 21.2244144563] 

[900, 21.1927801588, 21.0855909778] 

[910, 21.0418122944, 20.94173899] 

[920, 20.8725546401, 20.7885820943] 

[930, 20.7269183325, 20.652406754] 

[940, 20.5795937974, 20.5295488911] 

[950, 20.4233358901, 20.4078959803] 

[960, 20.2593682787, 20.2861623456] 

[970, 20.1101459704, 20.1880000945] 

[980, 19.9608762177, 20.0849195911] 

[990, 19.8066070186, 19.9777398879] 

