Data type: quat, num_epochs: 1000, 	 lr: 0.001 
ss: 43.3009269468 

Epoch: 10, 	 train loss: 38.0640379871, 	 test loss: 41.2452943863 

Epoch: 20, 	 train loss: 35.2560570597, 	 test loss: 38.5871621409 

Epoch: 30, 	 train loss: 32.2931249209, 	 test loss: 35.754335465 

Epoch: 40, 	 train loss: 29.7167514075, 	 test loss: 33.3095191217 

Epoch: 50, 	 train loss: 27.580285694, 	 test loss: 31.3957204511 

Epoch: 60, 	 train loss: 25.6365131579, 	 test loss: 29.5715765184 

Epoch: 70, 	 train loss: 24.047327698, 	 test loss: 28.0564437374 

Epoch: 80, 	 train loss: 22.6091120793, 	 test loss: 26.6617175687 

Epoch: 90, 	 train loss: 21.3643190948, 	 test loss: 25.3191232989 

Epoch: 100, 	 train loss: 20.164011102, 	 test loss: 24.0905801096 

Epoch: 110, 	 train loss: 18.9932569743, 	 test loss: 22.9527784778 

Epoch: 120, 	 train loss: 17.8864479219, 	 test loss: 22.0010848507 

Epoch: 130, 	 train loss: 16.8999656029, 	 test loss: 20.9511364352 

Epoch: 140, 	 train loss: 16.0319646303, 	 test loss: 20.150343372 

Epoch: 150, 	 train loss: 15.2228430621, 	 test loss: 19.3525508758 

Epoch: 160, 	 train loss: 14.3915037086, 	 test loss: 18.6341788999 

Epoch: 170, 	 train loss: 13.5390585463, 	 test loss: 17.7550934822 

Epoch: 180, 	 train loss: 12.7512266337, 	 test loss: 17.1914712229 

Epoch: 190, 	 train loss: 11.9600993168, 	 test loss: 16.5174009262 

Epoch: 200, 	 train loss: 11.2466660473, 	 test loss: 16.0380977508 

Epoch: 210, 	 train loss: 10.6571326623, 	 test loss: 15.4071241809 

Epoch: 220, 	 train loss: 10.0935335352, 	 test loss: 14.8591347971 

Epoch: 230, 	 train loss: 9.5408871299, 	 test loss: 14.4447907479 

Epoch: 240, 	 train loss: 9.0025679245, 	 test loss: 13.9550407164 

Epoch: 250, 	 train loss: 8.4591731639, 	 test loss: 13.5616386167 

Epoch: 260, 	 train loss: 7.967016305, 	 test loss: 13.1753343151 

Epoch: 270, 	 train loss: 7.497813607, 	 test loss: 12.9113582488 

Epoch: 280, 	 train loss: 7.1270218204, 	 test loss: 12.570788968 

Epoch: 290, 	 train loss: 6.8176778569, 	 test loss: 12.3743443643 

Epoch: 300, 	 train loss: 6.5211468283, 	 test loss: 12.1157541583 

Epoch: 310, 	 train loss: 6.2494316564, 	 test loss: 11.6484178112 

Epoch: 320, 	 train loss: 6.0330780894, 	 test loss: 11.4553055302 

Epoch: 330, 	 train loss: 5.8186727053, 	 test loss: 11.3120894894 

Epoch: 340, 	 train loss: 5.703416585, 	 test loss: 11.1106655982 

Epoch: 350, 	 train loss: 5.5424819514, 	 test loss: 10.9744055963 

Epoch: 360, 	 train loss: 5.3955834269, 	 test loss: 10.8174487698 

Epoch: 370, 	 train loss: 5.2195441983, 	 test loss: 10.6212325558 

Epoch: 380, 	 train loss: 5.1125913303, 	 test loss: 10.4751449093 

Epoch: 390, 	 train loss: 4.9756506792, 	 test loss: 10.3021486344 

Epoch: 400, 	 train loss: 4.8853596676, 	 test loss: 10.1636825069 

Epoch: 410, 	 train loss: 4.7688200792, 	 test loss: 10.0773079165 

Epoch: 420, 	 train loss: 4.6613996869, 	 test loss: 9.9675056704 

Epoch: 430, 	 train loss: 4.5715994275, 	 test loss: 10.0565815587 

Epoch: 440, 	 train loss: 4.4736758089, 	 test loss: 9.9651065949 

Epoch: 450, 	 train loss: 4.4269678525, 	 test loss: 9.969289472 

Epoch: 460, 	 train loss: 4.3093093687, 	 test loss: 10.0283242503 

Epoch: 470, 	 train loss: 4.2093673891, 	 test loss: 10.0979771768 

Epoch: 480, 	 train loss: 4.146012897, 	 test loss: 10.2807932208 

Epoch: 490, 	 train loss: 4.0791247905, 	 test loss: 10.2195217994 

Epoch: 500, 	 train loss: 4.0795105228, 	 test loss: 10.2174387286 

Epoch: 510, 	 train loss: 3.9802762545, 	 test loss: 10.2159640404 

Epoch: 520, 	 train loss: 3.9866276173, 	 test loss: 10.309593939 

Epoch: 530, 	 train loss: 3.8305706071, 	 test loss: 10.3645944903 

Epoch: 540, 	 train loss: 3.7699599787, 	 test loss: 10.4861735682 

Epoch: 550, 	 train loss: 3.694365096, 	 test loss: 10.6851511309 

Epoch: 560, 	 train loss: 3.7144192221, 	 test loss: 10.4711805774 

Epoch: 570, 	 train loss: 3.7032648619, 	 test loss: 10.34341726 

Epoch: 580, 	 train loss: 3.5552219901, 	 test loss: 10.6084082819 

Epoch: 590, 	 train loss: 3.4600125826, 	 test loss: 10.615337741 

Epoch: 600, 	 train loss: 3.4157662952, 	 test loss: 10.6380113171 

Epoch: 610, 	 train loss: 3.3918385371, 	 test loss: 10.5994046119 

Epoch: 620, 	 train loss: 3.3336305194, 	 test loss: 10.5705527029 

Epoch: 630, 	 train loss: 3.285699883, 	 test loss: 10.5603450652 

Epoch: 640, 	 train loss: 3.6837472028, 	 test loss: 10.544865762 

Epoch: 650, 	 train loss: 3.4524504009, 	 test loss: 10.5446944698 

Epoch: 660, 	 train loss: 3.3220400173, 	 test loss: 10.388370637 

Epoch: 670, 	 train loss: 3.158130723, 	 test loss: 10.5833779612 

Epoch: 680, 	 train loss: 3.3901446261, 	 test loss: 10.4892686413 

Epoch: 690, 	 train loss: 3.3057873683, 	 test loss: 10.5949933452 

Epoch: 700, 	 train loss: 3.2771393934, 	 test loss: 10.3630883002 

Epoch: 710, 	 train loss: 3.161222759, 	 test loss: 10.5116695281 

Epoch: 720, 	 train loss: 3.0899102215, 	 test loss: 10.525255757 

Epoch: 730, 	 train loss: 3.1077295218, 	 test loss: 10.4488151304 

Epoch: 740, 	 train loss: 3.0732928442, 	 test loss: 10.5310186571 

Epoch: 750, 	 train loss: 3.0564575195, 	 test loss: 10.4089621267 

Epoch: 760, 	 train loss: 2.9470261794, 	 test loss: 10.3703485304 

Epoch: 770, 	 train loss: 2.8624418313, 	 test loss: 10.4975536716 

Epoch: 780, 	 train loss: 2.8913369121, 	 test loss: 10.4643397177 

Epoch: 790, 	 train loss: 2.8007933582, 	 test loss: 10.3914913054 

Epoch: 800, 	 train loss: 2.7319511383, 	 test loss: 10.5515953802 

Epoch: 810, 	 train loss: 2.6914608604, 	 test loss: 10.6055573494 

Epoch: 820, 	 train loss: 2.6442910631, 	 test loss: 10.4303598712 

Epoch: 830, 	 train loss: 2.6824612637, 	 test loss: 10.5725255166 

Epoch: 840, 	 train loss: 2.7229750166, 	 test loss: 10.7077764696 

Epoch: 850, 	 train loss: 2.63447404, 	 test loss: 10.6365356445 

Epoch: 860, 	 train loss: 2.6004781993, 	 test loss: 10.4697226247 

Epoch: 870, 	 train loss: 2.821010327, 	 test loss: 10.4468659432 

Epoch: 880, 	 train loss: 2.7500172974, 	 test loss: 10.180997787 

Epoch: 890, 	 train loss: 2.7363743338, 	 test loss: 10.2070214056 

Epoch: 900, 	 train loss: 2.7731903941, 	 test loss: 10.3398732831 

Epoch: 910, 	 train loss: 2.6473786512, 	 test loss: 10.1193483414 

Epoch: 920, 	 train loss: 2.6572917985, 	 test loss: 9.9521907683 

Epoch: 930, 	 train loss: 2.6515562235, 	 test loss: 10.3573244156 

Epoch: 940, 	 train loss: 2.5280032756, 	 test loss: 10.6669902186 

Epoch: 950, 	 train loss: 2.5609699203, 	 test loss: 10.6665767547 

Epoch: 960, 	 train loss: 2.4117409401, 	 test loss: 10.7745036464 

Epoch: 970, 	 train loss: 2.4369551315, 	 test loss: 10.6126413653 

Epoch: 980, 	 train loss: 2.5607630927, 	 test loss: 10.697996078 

Epoch: 990, 	 train loss: 2.4677289584, 	 test loss: 10.7386750252 

