Data type: quat, num_epochs: 1000, 	 lr: 0.01 
9583, 9.5086856965] 

[20, 5.8903032681, 9.5764022335] 

[30, 5.8972326117, 9.5173123267] 

[40, 5.8959456841, 9.5899097073] 

[50, 5.9002359367, 9.6060180664] 

[60, 5.8937993223, 9.5068004977] 

[70, 5.8925489665, 9.5779458323] 

[80, 5.8855464796, 9.5356780021] 

[90, 5.8921807787, 9.5529499669] 

[100, 5.8855222633, 9.5312667354] 

[110, 5.8841493429, 9.5467135522] 

[120, 5.8948979551, 9.5192497007] 

[130, 5.8923908187, 9.4996495401] 

[140, 5.8854081003, 9.549019106] 

[150, 5.8784520694, 9.5825628465] 

[160, 5.8926660947, 9.6501829086] 

[170, 5.8908508548, 9.6427297285] 

[180, 5.8869841417, 9.6993703535] 

[190, 5.8890563718, 9.4167076849] 

[200, 5.8903843189, 9.566628733] 

[210, 5.8883140657, 9.605540614] 

[220, 5.8799717706, 9.42272457] 

[230, 5.8885073025, 9.6336541945] 

[240, 5.877524928, 9.5552318942] 

[250, 5.8986747217, 9.5301612116] 

[260, 5.8962338096, 9.5038560437] 

[270, 6.2376259252, 9.4012018019] 

[280, 6.0977071538, 9.4960268082] 

[290, 6.0939738779, 9.3796012632] 

[300, 6.0785332189, 9.4014794134] 

[310, 6.0491231694, 9.4095015987] 

[320, 6.0862266139, 9.4266258978] 

[330, 6.0832509647, 9.3158766224] 

[340, 6.0835168506, 9.2118481052] 

[350, 6.0822897228, 9.2098851358] 

[360, 6.0872634702, 9.2077745007] 

[370, 6.0863219968, 9.2266796481] 

[380, 6.0965793625, 9.190183578] 

[390, 6.0798779692, 9.1447734217] 

[400, 6.0772028008, 9.1340312342] 

[410, 6.0812291443, 9.1662499212] 

[420, 6.0856093434, 9.1488342285] 

[430, 6.0759153791, 9.1390951833] 

[440, 6.0804255559, 9.142982729] 

[450, 6.0743561409, 9.1456495716] 

[460, 6.0777958549, 9.1833289362] 

[470, 6.0800158543, 9.1347735005] 

[480, 6.0720877088, 9.1261065083] 

[490, 6.0738624233, 9.1095768098] 

[500, 6.0815034318, 9.1238235966] 

[510, 6.0803454936, 9.1085175545] 

[520, 6.0740586254, 9.1336010348] 

[530, 6.0755788209, 9.0960053475] 

[540, 6.0826129373, 9.1318211709] 

[550, 6.0809711657, 9.1927972609] 

[560, 6.073714654, 9.1561426963] 

[570, 6.0744021026, 9.1444603705] 

[580, 6.0764135446, 9.1022831086] 

[590, 6.0737176192, 9.1633832378] 

[600, 6.0762356283, 9.1392950243] 

[610, 6.1636483505, 9.3180226972] 

[620, 6.1550772354, 9.306307885] 

[630, 6.1627824915, 9.2675249653] 

[640, 6.1529956154, 9.3078760947] 

[650, 6.1675338436, 9.3480864494] 

[660, 6.1566152225, 9.3654460292] 

[670, 6.1627365298, 9.3279822565] 

[680, 6.1589686591, 9.3279605989] 

[690, 6.166193047, 9.3513508458] 

[700, 6.1553035844, 9.2934727823] 

[710, 6.1606445312, 9.3263874669] 

[720, 6.1546171242, 9.2803797568] 

[730, 6.1627350471, 9.3290169008] 

[740, 6.1629638672, 9.3380146642] 

[750, 6.1538960692, 9.2945842128] 

[760, 6.3288648351, 9.1005573888] 

[770, 6.3155764684, 9.1514114872] 

[780, 6.3142440734, 9.4567743117] 

[790, 6.2716553723, 9.476951353] 

[800, 6.3179378123, 9.4496617471] 

[810, 6.3156041443, 9.4256325999] 

[820, 6.2003208423, 9.4772220735] 

[830, 6.3136584324, 9.5203010805] 

[840, 6.3155492868, 9.4911174159] 

[850, 6.3137982944, 9.501667638] 

[860, 6.3144985925, 9.6413091844] 

[870, 6.2497010019, 9.6664871708] 

[880, 6.3149300394, 9.8001206921] 

[890, 6.3230509275, 9.8140268633] 

[900, 6.3112358062, 9.7960490565] 

[910, 6.3231023256, 9.8258824502] 

[920, 6.3205437911, 9.7241181404] 

[930, 6.314922132, 9.7774008474] 

[940, 6.3227998679, 9.7857725082] 

[950, 6.3189020195, 9.7598886798] 

[960, 6.3155517578, 9.8618026241] 

[970, 6.319936899, 9.8703514837] 

[980, 6.3105617014, 9.8903099798] 

[990, 6.3172780396, 9.7799781061] 

