Data type: quat, num_epochs: 500, 	 lr: 0.001 
oss: 39.6480555381 

Epoch: 10, 	 train loss: 39.175690315, 	 test loss: 37.628953503 

Epoch: 20, 	 train loss: 36.4231876265, 	 test loss: 34.8677860383 

Epoch: 30, 	 train loss: 33.496327018, 	 test loss: 31.9165157195 

Epoch: 40, 	 train loss: 30.9815915992, 	 test loss: 29.2162298387 

Epoch: 50, 	 train loss: 28.8513252783, 	 test loss: 27.340257214 

Epoch: 60, 	 train loss: 26.8015581509, 	 test loss: 25.659203314 

Epoch: 70, 	 train loss: 24.9476590176, 	 test loss: 24.2412936303 

Epoch: 80, 	 train loss: 23.271678106, 	 test loss: 22.9240289504 

Epoch: 90, 	 train loss: 21.9574503416, 	 test loss: 21.7454381143 

Epoch: 100, 	 train loss: 20.6578354314, 	 test loss: 20.4496873425 

Epoch: 110, 	 train loss: 19.4665319775, 	 test loss: 19.4900158298 

Epoch: 120, 	 train loss: 18.333725408, 	 test loss: 18.6197529454 

Epoch: 130, 	 train loss: 17.3221015467, 	 test loss: 17.6198001985 

Epoch: 140, 	 train loss: 16.3885730326, 	 test loss: 17.0293618479 

Epoch: 150, 	 train loss: 15.4760228207, 	 test loss: 16.4709807365 

Epoch: 160, 	 train loss: 14.6641603539, 	 test loss: 15.7042118196 

Epoch: 170, 	 train loss: 13.8588620082, 	 test loss: 14.8756881222 

Epoch: 180, 	 train loss: 13.1029561773, 	 test loss: 14.2873623756 

Epoch: 190, 	 train loss: 12.3944422919, 	 test loss: 13.7306538243 

Epoch: 200, 	 train loss: 11.6996734248, 	 test loss: 13.267506261 

Epoch: 210, 	 train loss: 11.0746536564, 	 test loss: 12.4430443548 

Epoch: 220, 	 train loss: 10.4587955861, 	 test loss: 12.2082992061 

Epoch: 230, 	 train loss: 9.8628087835, 	 test loss: 11.8147651918 

Epoch: 240, 	 train loss: 9.314394808, 	 test loss: 11.3796337497 

Epoch: 250, 	 train loss: 8.7456677394, 	 test loss: 11.2004955661 

Epoch: 260, 	 train loss: 8.2757504112, 	 test loss: 10.7543610604 

Epoch: 270, 	 train loss: 7.9782398548, 	 test loss: 10.4686052876 

Epoch: 280, 	 train loss: 7.5420089907, 	 test loss: 10.3166100287 

Epoch: 290, 	 train loss: 7.2730727717, 	 test loss: 9.7155299033 

Epoch: 300, 	 train loss: 6.9805092754, 	 test loss: 9.6655745968 

Epoch: 310, 	 train loss: 6.7263074867, 	 test loss: 9.5237092049 

Epoch: 320, 	 train loss: 6.4667459712, 	 test loss: 9.3769895492 

Epoch: 330, 	 train loss: 6.2371455513, 	 test loss: 9.0852710355 

Epoch: 340, 	 train loss: 6.0144878187, 	 test loss: 8.9672467632 

Epoch: 350, 	 train loss: 5.8352115029, 	 test loss: 8.7511370259 

Epoch: 360, 	 train loss: 5.6216324409, 	 test loss: 8.7317111108 

Epoch: 370, 	 train loss: 5.4769954295, 	 test loss: 8.796041181 

Epoch: 380, 	 train loss: 5.3725086784, 	 test loss: 8.9979444934 

Epoch: 390, 	 train loss: 5.2684118603, 	 test loss: 8.8273029943 

Epoch: 400, 	 train loss: 5.1692032911, 	 test loss: 8.8127342962 

Epoch: 410, 	 train loss: 5.0605814698, 	 test loss: 8.7905184838 

Epoch: 420, 	 train loss: 4.9592720063, 	 test loss: 8.864218435 

Epoch: 430, 	 train loss: 4.9306260082, 	 test loss: 8.8551045079 

Epoch: 440, 	 train loss: 4.9414042732, 	 test loss: 8.9958446872 

Epoch: 450, 	 train loss: 4.6451766906, 	 test loss: 8.8930181688 

Epoch: 460, 	 train loss: 4.5542689026, 	 test loss: 8.9859884939 

Epoch: 470, 	 train loss: 4.435343754, 	 test loss: 8.8310635474 

Epoch: 480, 	 train loss: 4.3304670697, 	 test loss: 8.879517586 

Epoch: 490, 	 train loss: 4.2429001534, 	 test loss: 8.7163391113 

