reference,str_extra_input,focus_identity,data_type,data_dir_train,number_of_runs,Test loss tennis_pNone_gNone_tennisEffect MSE,Test loss tennis_pNone_gNone_tennisEffect L1,Train loss,"Test loss t(5,20)_r(5,20)_combi_pNone_gNone_bigBlocks MSE","Test loss t(5,20)_r(5,20)_combi_pNone_gNone_bigBlocks L1","Test loss t(5,20)_r(5,20)_combi_pNone_gNone L1","Test loss t(5,20)_r(5,20)_combi_pNone_gNone MSE"
fr-fr,False,False,log_dualQ_1,"data_t(5,20)_r(5,20)_combi_pNone_gNone",10,3.0112e-05 ($\pm$ 1.7670e-06),2.8014e-03 ($\pm$ 9.0727e-05),1.3618e-06 ($\pm$ 2.0139e-07),4.8305e-05 ($\pm$ 8.0640e-06),2.8508e-03 ($\pm$ 4.6673e-04),3.7160e-04 ($\pm$ 4.5046e-05),5.9771e-07 ($\pm$ 8.6346e-08)
start-fr,False,False,rot_mat,"data_t(5,20)_r(5,20)_combi_pNone_gNone",10,,,8.9586e-04 ($\pm$ 2.7580e-05),,,1.9426e-02 ($\pm$ 6.5990e-04),1.0344e-03 ($\pm$ 5.9720e-05)
fr-fr,False,False,log_quat_1,"data_t(5,20)_r(5,20)_combi_pNone_gNone",10,2.9071e-05 ($\pm$ 1.2574e-06),2.7325e-03 ($\pm$ 9.0900e-05),1.3449e-06 ($\pm$ 1.1749e-07),4.8998e-05 ($\pm$ 9.9122e-06),2.9021e-03 ($\pm$ 5.2904e-04),3.3893e-04 ($\pm$ 3.6287e-05),5.7374e-07 ($\pm$ 6.0488e-08)
fr-fr,False,False,rot_mat_1,"data_t(5,20)_r(5,20)_combi_pNone_gNone",10,,,3.6825e-06 ($\pm$ 9.6643e-07),,,6.9876e-04 ($\pm$ 1.1073e-04),1.4281e-06 ($\pm$ 3.6095e-07)
fr-fr,False,False,pos_diff_1,"data_t(5,20)_r(5,20)_combi_pNone_gNone",10,4.0986e-05 ($\pm$ 2.3426e-06),3.5946e-03 ($\pm$ 1.4422e-04),4.8868e-07 ($\pm$ 1.3195e-08),1.2292e-03 ($\pm$ 1.8875e-04),1.1184e-02 ($\pm$ 7.4263e-04),3.1333e-04 ($\pm$ 3.5632e-05),4.7992e-07 ($\pm$ 5.0908e-08)
start-fr,False,False,log_dualQ,"data_t(5,20)_r(5,20)_combi_pNone_gNone",10,,,2.3274e-01 ($\pm$ 1.5642e-02),,,1.6573e-01 ($\pm$ 6.0442e-03),3.6206e-01 ($\pm$ 3.4347e-02)
start-fr,False,False,quat,"data_t(5,20)_r(5,20)_combi_pNone_gNone",10,,,1.0044e-03 ($\pm$ 2.8660e-05),,,1.9606e-02 ($\pm$ 9.8165e-04),1.0940e-03 ($\pm$ 9.1943e-05)
start-fr,False,False,dual_quat,"data_t(5,20)_r(5,20)_combi_pNone_gNone",10,,,1.8742e-03 ($\pm$ 9.7298e-05),,,2.5906e-02 ($\pm$ 1.4007e-03),1.5485e-03 ($\pm$ 1.7220e-04)
fr-fr,False,False,dual_quat_1,"data_t(5,20)_r(5,20)_combi_pNone_gNone",10,,,1.8233e-06 ($\pm$ 3.8359e-07),,,6.5730e-04 ($\pm$ 8.9450e-05),1.3964e-06 ($\pm$ 2.5870e-07)
start-fr,False,False,log_quat,"data_t(5,20)_r(5,20)_combi_pNone_gNone",10,,,3.3267e-02 ($\pm$ 2.1039e-02),,,6.5999e-02 ($\pm$ 2.8798e-02),3.2952e-02 ($\pm$ 2.0659e-02)
fr-fr,False,False,quat_1,"data_t(5,20)_r(5,20)_combi_pNone_gNone",10,,,6.7141e-06 ($\pm$ 9.1440e-07),,,8.9914e-04 ($\pm$ 1.8036e-04),2.2411e-06 ($\pm$ 9.0893e-07)
